"","triToken","Ranking"
"618","its been awhile",622
"619","it would mean",622
"620","it would make",622
"621","it with your",622
"622","it was so",622
"623","it was just",622
"624","it to the",622
"625","it its a",622
"626","it is only",622
"627","it feels like",622
"628","it but i",622
"629","is waiting for",622
"630","is the same",622
"631","is the most",622
"632","is so much",622
"633","is probably the",622
"634","is on the",622
"635","is like a",622
"636","is it that",622
"637","is gonna be",622
"638","is a great",622
"639","in the th",622
"640","in the studio",622
"641","in the same",622
"642","in the last",622
"643","in the city",622
"644","in san francisco",622
"645","in one of",622
"646","in my life",622
"647","in a little",622
"648","im trying to",622
"649","im so proud",622
"650","im so excited",622
"651","im ready to",622
"652","im ok with",622
"653","im in the",622
"654","if you do",622
"655","if you agree",622
"656","if i was",622
"657","if i had",622
"658","if i could",622
"659","if i can",622
"660","id love to",622
"661","i wonder what",622
"662","i wonder how",622
"663","i went to",622
"664","i was there",622
"665","i was like",622
"666","i want it",622
"667","i wanna be",622
"668","i told you",622
"669","i think you",622
"670","i think we",622
"671","i think that",622
"672","i think it",622
"673","i think im",622
"674","i still love",622
"675","i see you",622
"676","i need some",622
"677","i missed the",622
"678","i love to",622
"679","i love how",622
"680","i know thats",622
"681","i know its",622
"682","i know i",622
"683","i just wanted",622
"684","i just want",622
"685","i just wanna",622
"686","i just had",622
"687","i have ever",622
"688","i hate when",622
"689","i forgot about",622
"690","i feel so",622
"691","i dont wanna",622
"692","i dont need",622
"693","i dont get",622
"694","i do not",622
"695","i didnt even",622
"696","i can see",622
"697","i can make",622
"698","i can get",622
"699","i can finally",622
"700","i bet you",622
"701","i am in",622
"702","i am getting",622
"703","how many people",622
"704","how many of",622
"705","how i feel",622
"706","how do i",622
"707","hope you had",622
"708","hope everyone has",622
"709","hope all is",622
"710","here we go",622
"711","here at the",622
"712","heard of it",622
"713","having a good",622
"714","have to try",622
"715","have to go",622
"716","have to do",622
"717","have the time",622
"718","have a nice",622
"719","good luck to",622
"720","going to see",622
"721","going to do",622
"722","go to my",622
"723","go to bed",622
"724","get to the",622
